,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.2', '10', 'None', 'XandYY', 'None')",11714.365899562836,13749.505622625351,11950.8826982975,10477.687533378601,13443.23440170288,0.9690740001250896,0.9844075009664399,0.9830865272938443,0.9533274331280628,0.9742057637233967,0.9673635900050995,0.9668471800290582,0.9618543046357616,0.955799693408278,0.9685305591677503,0.9488,0.9498,0.9424,0.9308,0.9516
"('0.2', '10', 'None', 'YandYY', 'None')",11189.803966999054,15965.845027685165,14268.375482559204,11203.824274539948,10775.527761936188,0.9688923223618751,0.9844070522420626,0.9831242921908525,0.9533932363155868,0.9741458949772139,0.967240280433397,0.9669836238774432,0.9621192052980132,0.9556776088900242,0.9685305591677503,0.9486,0.95,0.9428,0.9306,0.9516
"('0.2', '10', 'None', 'ZandYY', 'None')",11333.19728565216,10539.270825147629,11831.352894067764,10583.428169965744,11271.694027423859,0.9677289431921355,0.9846347798636731,0.9834904081684341,0.9485752505820711,0.9738443089711635,0.967240280433397,0.9668821744293442,0.9616863316982633,0.9556662833780504,0.9684046287868938,0.9486,0.9498,0.9422,0.9306,0.9514
"('0.2', '1000', 'None', 'XandYY', 'None')",11534.562477111816,15451.152796030045,10526.478746891022,12621.688815116882,12331.941343545914,0.9738384020971067,0.9827846892550033,0.982626338279404,0.9671812122625344,0.9782375986488947,0.9675696299122472,0.9678185175415457,0.9641392086806935,0.954883363240195,0.9707374170893484,0.949,0.9512,0.9458,0.9296,0.955
"('0.2', '1000', 'None', 'YandYY', 'None')",10357.30369091034,16959.73254752159,12613.580713510513,12077.621408939362,12112.549599409103,0.9738365692823453,0.9827561952570284,0.9826206848517084,0.9667099907787212,0.9782337867811601,0.9676926990587637,0.9678185175415457,0.9640021175224986,0.9547609893630654,0.9704773052412536,0.9492,0.9512,0.9456,0.9294,0.9546
"('0.2', '1000', 'None', 'ZandYY', 'None')",10459.685584783554,10541.24088549614,11999.268214702606,12602.217541456223,10382.799499511719,0.973960971584269,0.9830711997700736,0.9821283843679559,0.96642337152568,0.9777416073883863,0.9679470872551513,0.9683460828277498,0.9634630659253376,0.9546386468477704,0.9699336196798125,0.9496,0.952,0.9448,0.9292,0.9538
"('0.2', '1000000.0', 'None', 'XandYY', 'None')",22647.88126850128,14579.248521327972,23080.303736925125,18345.87824034691,14329.294023513794,0.9674127826458102,0.9784233126673323,0.9712527724409419,0.967052918128469,0.9687222798736074,0.9589111453518234,0.9652988520913048,0.9525202819523872,0.950264823666193,0.9603778535817371,0.936,0.9474,0.9286,0.923,0.9396
"('0.2', '1000000.0', 'None', 'YandYY', 'None')",14762.238711833954,25607.77814602852,14712.411202907562,14493.198481321335,24343.30645608902,0.9666753038062293,0.9786061678511869,0.9741020999996381,0.9645674124950097,0.9629020062981025,0.9600614439324117,0.9653445776782185,0.955931300758887,0.9473413819676342,0.9543481120905144,0.9376,0.9474,0.9338,0.918,0.9306
"('0.2', '1000000.0', 'None', 'ZandYY', 'None')",17234.39839363098,14810.830954313278,19799.10146832466,20561.500919818878,17886.865441083908,0.9685802856487626,0.977369707828827,0.9760604473534722,0.9635507753293691,0.9644695808470238,0.9574795081967213,0.9651531151003168,0.9559781885889082,0.9436857848875017,0.9547553093259464,0.9336,0.9472,0.9338,0.9134,0.9314
"('1.2', '10', 'None', 'XandYY', 'None')",10820.720691204071,11541.603051900864,11018.395581245422,11158.178622484207,10175.914118766785,0.9614169582560401,0.9780084669802802,0.9776133308729615,0.936274691652446,0.9716255777221893,0.9659569042458244,0.966728280961183,0.9601699415825808,0.9492874566696624,0.9635511585524602,0.9466,0.9496,0.94,0.921,0.944
"('1.2', '10', 'None', 'YandYY', 'None')",10761.363913297653,15976.265693187714,12779.546281337738,12065.81878733635,11039.868677139282,0.963593654886937,0.976610690544188,0.9772101284096952,0.9488837306255984,0.972272249871966,0.9640397857689363,0.9642149742506273,0.9564754425662184,0.9498456790123457,0.9613071895424836,0.9436,0.9458,0.9346,0.922,0.9408
"('1.2', '10', 'None', 'ZandYY', 'None')",11253.512323379517,15856.374453783035,13983.02741098404,11651.617727518082,13312.460253953934,0.9694275042721766,0.9786160397874932,0.9779267569044181,0.9502826004006487,0.9750995345933724,0.9646548424141891,0.965317156798101,0.9598941098610192,0.9490084985835694,0.9638711360375637,0.9446,0.9474,0.9394,0.9208,0.9446
"('1.2', '1000', 'None', 'XandYY', 'None')",10731.32717037201,11297.886753559113,10212.79220366478,10511.376898288727,11593.907760381699,0.9512819508297037,0.9670227967689153,0.9562313889160254,0.923246764603008,0.9349184125768315,0.9481330444755958,0.9514999339236156,0.9314958522879314,0.9196032367528061,0.9296110082032284,0.9186,0.9266,0.8976,0.8768,0.8936
"('1.2', '1000', 'None', 'YandYY', 'None')",10408.159310102463,11461.067870616913,10703.694747924805,10476.822464227676,11958.019759654999,0.9501352960946612,0.9648303294601689,0.9549785893386303,0.94306301913857,0.9501001848531623,0.9456632653061224,0.9506596306068601,0.9332086561581618,0.9321901792673423,0.9406835144690323,0.9148,0.9252,0.9,0.8956,0.9094
"('1.2', '1000', 'None', 'ZandYY', 'None')",10566.882024765015,11511.262360811234,12354.190250873566,14757.123730421066,10419.437906265259,0.9488594279189466,0.9649945625823549,0.9539847167497042,0.9342811642129586,0.9525157878592462,0.9448134900357691,0.9517405063291139,0.9352345415778253,0.9253692327800286,0.941361668634396,0.9136,0.9268,0.9028,0.8858,0.9106
"('1.2', '1000000.0', 'None', 'XandYY', 'None')",12690.705381393433,14614.998164176941,14582.968381881714,12776.802661418915,12939.327390432358,0.9455738783574589,0.9514188552637277,0.9427337172236876,0.9154579195240266,0.9421353993357484,0.9378588745693505,0.9359904975584004,0.9178666666666666,0.9093999215583738,0.9330554831987496,0.9026,0.903,0.8768,0.8614,0.8972
"('1.2', '1000000.0', 'None', 'YandYY', 'None')",21097.200207471848,24837.70645546913,20932.976805448532,22140.89760541916,22587.919350862503,0.94922209613984,0.9558897205995227,0.9388859943339086,0.9251380542041612,0.949393643957203,0.9407275502416688,0.9426987060998152,0.919365587098494,0.9183753428235601,0.9400933609958506,0.9068,0.9132,0.879,0.875,0.9076
"('1.2', '1000000.0', 'None', 'ZandYY', 'None')",16163.589107990265,17546.78387737274,18621.33945250511,16549.278069734573,17442.588056087494,0.9458242866742224,0.9523492852605934,0.9334338286640543,0.9217575810571613,0.9443137696322399,0.9379222434671765,0.9384574749075542,0.9139055222887557,0.9169816238759285,0.9366696762543532,0.9026,0.9068,0.8706,0.8726,0.9018
"('2', '10', 'None', 'XandYY', 'None')",12249.92419719696,12125.75995016098,12724.871724128723,12478.066224813461,11445.42928981781,0.9537970308859071,0.9764949196547785,0.9689966025160919,0.9149052169120375,0.9652862174522554,0.9600407228302367,0.9627778508483493,0.9507238677115154,0.9362631714212285,0.9570888222251206,0.9372,0.9434,0.9258,0.9008,0.9342
"('2', '10', 'None', 'YandYY', 'None')",11528.716766834259,13072.736911296844,11959.62293291092,12132.951470375061,11283.021245479584,0.9558529908444031,0.9701003729123939,0.9675475159290979,0.9176912532106656,0.9573904940090894,0.9588377723970944,0.9561879549966908,0.9458233253269283,0.9242502585315409,0.9515349444807316,0.9354,0.9338,0.9188,0.8828,0.9258
"('2', '10', 'None', 'ZandYY', 'None')",11364.030343055725,12783.097581148148,10403.13774394989,12873.551987409592,10302.049481153488,0.9576111184041866,0.9758797185331468,0.9724614752823095,0.9262781275504255,0.9627537919114858,0.9600000000000001,0.9608850256815489,0.9551171719846419,0.9401313248358439,0.9563976122501947,0.9372,0.9406,0.9322,0.907,0.9328
"('2', '1000', 'None', 'XandYY', 'None')",12035.99799823761,12159.896692037582,10321.290203332901,13300.832034349442,10619.611998796463,0.9350184690452478,0.9568356315874141,0.942195510907045,0.8895098236651227,0.9328609009102741,0.9383946830265849,0.9422620616925916,0.9231585932315859,0.9016436211844508,0.92744892613934,0.9036,0.9124,0.8842,0.8492,0.8892
"('2', '1000', 'None', 'YandYY', 'None')",10594.56328868866,10302.927103281021,10687.027637958527,10635.018370389938,10783.23748254776,0.9425052882433411,0.9512021213893673,0.936523539968377,0.9009467709625107,0.9345197360573088,0.9359302921578677,0.935453943008615,0.9166889900884008,0.9034017138405609,0.9298016701461378,0.9,0.9026,0.8756,0.8512,0.8924
"('2', '1000', 'None', 'ZandYY', 'None')",11013.61142206192,10806.479319572449,12390.1064453125,14129.775696754456,12066.167620658875,0.9320967332138796,0.9563379962527028,0.9355789652689585,0.8915053384491999,0.9320480761727772,0.9313624678663238,0.9399999999999998,0.9212797026417098,0.8977929584866001,0.925310660562459,0.8932,0.9088,0.8814,0.8444,0.8858
"('2', '1000000.0', 'None', 'XandYY', 'None')",10467.11546421051,12926.297343969345,10927.248524188995,10777.061178207397,12678.348874092102,0.924034181078891,0.9521336731971769,0.9326697113766865,0.8821637147975029,0.9125992543089801,0.9245210235309245,0.9356370350830916,0.9207357416964403,0.8985016286644951,0.9145781393517911,0.8826,0.9024,0.8802,0.8442,0.8698
"('2', '1000000.0', 'None', 'YandYY', 'None')",11305.437136888504,10706.747295856476,11706.876940965652,11375.279420852661,10678.663395643234,0.9417233636457985,0.9469672850761677,0.9325166165546835,0.8995384060966434,0.9283729872217225,0.9348521694611545,0.9293492695883134,0.9135967849966511,0.9067698259187622,0.919926969222744,0.8982,0.8936,0.871,0.8554,0.8772
"('2', '1000000.0', 'None', 'ZandYY', 'None')",15284.301100254059,11221.468756914139,12834.325610876083,10573.634579896927,13227.786443710327,0.92926411800028,0.9458418843372531,0.9244003296174484,0.8684746644479069,0.915991368137629,0.9299526187732104,0.9272558632569232,0.9152317880794701,0.8859130891427072,0.9150498164656528,0.8906,0.8902,0.872,0.8262,0.8704
"('0.2', '100', 'None', 'ZandXX', 'None')",13575.945144891739,11919.091123580933,11363.999038696289,10075.153679132462,12352.461733341217,0.9735339257448846,0.9847245247391845,0.9827995593040042,0.9628441639197147,0.9763978118982295,0.9678980891719745,0.9662090813093981,0.9609012591119946,0.9545570589737044,0.9677754677754677,0.9496,0.9488,0.941,0.9288,0.9504
"('0.2', '100', 'None', 'ZandXY', 'None')",11894.589588880539,11415.057058095932,12256.021804571152,10613.965315580368,11667.986050844193,0.973694526138344,0.9844665082220891,0.9824601275051469,0.9657746139251911,0.9750022198523864,0.9676350662589195,0.9668821744293442,0.9627863859091511,0.9563659628918746,0.9689327960483557,0.9492,0.9498,0.9438,0.9318,0.9522
"('0.2', '100', 'None', 'ZandXZ', 'None')",11191.220750808716,11744.331836938858,11345.039170980453,11734.228750228882,12622.158301830292,0.9716974453540552,0.9843523078680005,0.9824029148168653,0.9683941549104192,0.9762897342365815,0.9673635900050995,0.966526093832367,0.9636483807005949,0.9577934573444516,0.9681362986084017,0.9488,0.9492,0.945,0.9342,0.951
"('0.2', '100', 'None', 'ZandYX', 'None')",12170.583681344986,11871.548058748245,10542.199438810349,11352.168874263763,12936.913690567017,0.9700373733840014,0.9852836353136214,0.983940421013022,0.9663858327945422,0.976562394893353,0.9676433121019109,0.9671373894681272,0.9626588983050847,0.9565774305110799,0.9678427288113526,0.9492,0.9502,0.9436,0.9322,0.9506
"('0.2', '100', 'None', 'ZandYZ', 'None')",12410.620282888412,11223.852707386017,10315.736510276794,10310.835339784622,11243.361333370209,0.9698298071122835,0.984928918693162,0.9833942998976051,0.9586532958122674,0.975707415383263,0.9677665944706332,0.967154728927582,0.9618441971383148,0.9553308588250352,0.9683799609629149,0.9494,0.9502,0.9424,0.9302,0.9514
"('0.2', '100', 'None', 'ZandZX', 'None')",10442.542344808578,11740.430119037628,11164.174073934555,12196.482391357422,12670.874845266342,0.972176955515982,0.9849475407548307,0.9839824825150787,0.9640193470203964,0.9784481482843457,0.9675200611387085,0.966754617414248,0.9601593625498007,0.9562324033785513,0.9684731631057842,0.949,0.9496,0.94,0.9316,0.9516
"('0.2', '100', 'None', 'ZandZY', 'None')",10419.235224485397,12221.745071649551,11578.894835472107,11738.888504743576,11182.482793569565,0.9733927990082638,0.9849980222473059,0.9833142473614322,0.9632385414127282,0.977570297567849,0.9681366301300026,0.9666094760459285,0.9628159322482467,0.9555754704903341,0.9685223725286161,0.95,0.9494,0.9438,0.9306,0.9516
"('0.2', '100', 'None', 'ZandZZ', 'None')",12051.037376642227,12172.388261318207,10553.589813232422,11739.054356336594,10599.11030292511,0.9738448169487712,0.9846554211850407,0.9836073210531839,0.9684838062330191,0.9783541969560665,0.968268127946986,0.9668909114892493,0.9632469592808038,0.9559877175025588,0.9676497336624659,0.9502,0.9498,0.9444,0.9312,0.9502
"('0.2', '1000', 'None', 'ZandXX', 'None')",11287.286454200745,11898.811324834824,10975.75171995163,12134.363581418991,12886.375507831573,0.9708829882944995,0.9849560665180044,0.9838669264529761,0.9513661448341407,0.9767191299254937,0.9674631418403661,0.9668821744293442,0.9634533898305084,0.9536965975952929,0.9687662675689744,0.9488,0.9498,0.9448,0.9276,0.952
"('0.2', '1000', 'None', 'ZandXY', 'None')",11463.42529797554,12311.668169498444,10349.67500114441,11478.196182012558,10829.749563694,0.9733371272598893,0.9837974601751506,0.9817613638419428,0.9635242774015071,0.9776550555680625,0.9670860338035329,0.9674271396544902,0.9634920634920635,0.9551741803278688,0.9688842598619972,0.9482,0.9506,0.9448,0.93,0.9522
"('0.2', '1000', 'None', 'ZandXZ', 'None')",10416.95594573021,10571.593949317932,10338.151579380035,11259.588011741638,10514.717004537582,0.9731749231535136,0.9843357050660307,0.9822303722035886,0.9605459103098137,0.9756522554148702,0.9674300254452927,0.966389877421906,0.9640686922060766,0.9543706741861061,0.9694527492525673,0.9488,0.949,0.9456,0.9288,0.953
"('0.2', '1000', 'None', 'ZandYX', 'None')",11634.139828443527,10463.14384150505,10389.251443862915,14078.611953258514,10468.51787185669,0.9727487937215096,0.9852926098011725,0.9831159251178627,0.9676963761433856,0.9768146508463692,0.9672172808132148,0.9676823638042473,0.9647058823529412,0.9549180327868851,0.9690507152145644,0.9484,0.951,0.9466,0.9296,0.9524
"('0.2', '1000', 'None', 'ZandYZ', 'None')",11425.7416036129,10290.660912513733,12262.135226726532,12681.729771614075,10362.434135913849,0.9713698297154717,0.9849022195926973,0.9828940846150784,0.9624321211414602,0.9753313858426336,0.9667090216010166,0.9671720500988794,0.9637566137566138,0.9549872122762147,0.9687906371911574,0.9476,0.9502,0.9452,0.9296,0.952
"('0.2', '1000', 'None', 'ZandZX', 'None')",10568.536423921585,10855.549880504608,11199.273940324783,11054.15612077713,10358.596293449402,0.9727020569450964,0.985109530255129,0.9838388854516048,0.9659614243166185,0.9775037019962527,0.9677009155645981,0.9675461741424802,0.963051251489869,0.9555868424420837,0.9702892885066459,0.9492,0.9508,0.9442,0.9306,0.9544
"('0.2', '1000', 'None', 'ZandZY', 'None')",10240.914117097855,10701.378961086273,11498.877151966095,10845.786280155182,10425.210330247879,0.9751596324381637,0.9845553556488453,0.9834019885592713,0.9691769478626772,0.9772184845987089,0.9668318719024018,0.9679630850362557,0.9640306797143613,0.9548766457880608,0.9699570815450643,0.9478,0.9514,0.9456,0.9294,0.9538
"('0.2', '1000', 'None', 'ZandZZ', 'None')",10319.258732318878,10791.210764169693,11107.9945936203,10681.993926525116,13330.747019052505,0.9753371863681652,0.9850330227487553,0.9840021564434602,0.9698550739998798,0.9791495319474877,0.967717336044738,0.967154728927582,0.9637470230219636,0.9547377868957558,0.9694527492525673,0.9492,0.9502,0.9452,0.9294,0.953
"('0.2', '5000', 'None', 'ZandXX', 'None')",10788.884821653366,10587.370537996292,11451.00790309906,10407.073627948761,12317.970768213272,0.9752093475385641,0.9851111007904505,0.9843054063050644,0.9594365303966563,0.9780082139022852,0.9672422549517522,0.9679884073244632,0.9645502645502646,0.9544174135723431,0.9694289059451021,0.9484,0.9514,0.9464,0.9288,0.953
"('0.2', '5000', 'None', 'ZandXY', 'None')",10281.633252620697,11390.131658792496,11757.854947566986,11046.304619789124,12997.295582294464,0.9716699531326356,0.98205955066087,0.9811514720621172,0.9609829053034717,0.9757890341982834,0.96709439715411,0.967409948542024,0.9632177824821381,0.9534794309880815,0.9684649465728433,0.9482,0.9506,0.9444,0.9274,0.9516
"('0.2', '5000', 'None', 'ZandXZ', 'None')",10280.259114027023,10685.966450691223,13968.196693897247,10403.946473360062,12444.426295042038,0.9718449869423403,0.9827712275236764,0.9822855496578998,0.9575187428676412,0.9753959633666058,0.9664463650228775,0.9676908875115389,0.9637661994181433,0.9545046776880686,0.9685665840615626,0.9472,0.951,0.9452,0.929,0.9518
"('0.2', '5000', 'None', 'ZandYX', 'None')",10293.951920747757,11523.034315109253,11686.756668806076,10598.457455396652,12318.070734977722,0.9735160558009618,0.9838629739342741,0.9813559000075983,0.9610058701742857,0.9764785338031946,0.9672172808132148,0.9675632911392404,0.9642857142857143,0.9551282051282052,0.9686157051699441,0.9484,0.9508,0.946,0.93,0.9518
"('0.2', '5000', 'None', 'ZandYZ', 'None')",10388.105132102966,10656.212755680084,10537.487380743027,10604.05274605751,12657.626642465591,0.9732654183823531,0.9839222055521117,0.9816288474967527,0.9613346652958406,0.9768738469100104,0.9668487234853296,0.9674185463659147,0.9637757800105764,0.9536016406049729,0.9698387935517421,0.9478,0.9506,0.9452,0.9276,0.9536
"('0.2', '5000', 'None', 'ZandZX', 'None')",10825.503127336502,11700.538728237152,10730.177638292313,10562.725145101547,10262.142401456833,0.9757097059684008,0.9852672568738404,0.9834962877332378,0.967551299988341,0.9784039754641285,0.9669379450661241,0.9675632911392404,0.963855421686747,0.9541847965190683,0.9696890854689737,0.948,0.9508,0.9454,0.9284,0.9534
"('0.2', '5000', 'None', 'ZandZY', 'None')",10807.237062215805,11316.898484230042,10514.844356060028,11720.648662090302,10444.100380659103,0.9744216953948925,0.9831914579032591,0.9825625676149953,0.9615506234079162,0.9764135078241949,0.9678321678321679,0.9687458789397336,0.9645690111052353,0.954894925679139,0.9684567257559958,0.9494,0.9526,0.9464,0.9296,0.9516
"('0.2', '5000', 'None', 'ZandZZ', 'None')",10589.116833209991,11070.311321496964,10111.444944381714,11374.79239153862,10507.663412809372,0.976792670390488,0.9844983676528956,0.9838357195320953,0.9695198752124251,0.9789892092751262,0.9673401957046639,0.9674185463659147,0.96442269541066,0.953577840471916,0.9697205977907732,0.9486,0.9506,0.9462,0.9276,0.9534
"('0.2', '100', 'None', 'ZandYY', 'None')",10630.95409321785,11464.900571107864,12489.218091011047,14253.467208623886,13068.085006952286,0.9704758743156442,0.984403462447042,0.9828413946689534,0.9590414904554463,0.975612567144929,0.9678403457480614,0.9674013461792266,0.9634630659253376,0.9543536632144227,0.9696969696969697,0.9494,0.9506,0.9448,0.9286,0.9534
"('0.2', '5000', 'None', 'ZandYY', 'None')",11220.762801885605,11383.227656364441,10620.812861680984,10647.316320419312,12919.951932907104,0.9707148275401496,0.98134854688463,0.9803260716185266,0.9598439360375352,0.9758363462036937,0.9667558272831487,0.968609865470852,0.9628159322482467,0.9528701682290998,0.9695391825045562,0.9478,0.9524,0.9438,0.9266,0.9532
"('0.05', '1000', 'None', 'ZandZZ', 'None')",12166.964802980423,13090.877093791962,11899.95096206665,10988.61181306839,12565.157460927963,0.9828686804260653,0.9842217290741313,0.9828610685973348,0.9830289604686246,0.9828223786234046,0.9664069485247158,0.9629433562731604,0.957630495417718,0.954865106763841,0.9658409387222947,0.9474,0.944,0.9362,0.9294,0.9476
"('0.05', '5000', 'None', 'ZandZZ', 'None')",13475.304213762283,11179.98764872551,12648.367455482483,11216.722831964493,12457.542966842651,0.9775026570086494,0.9838472685810595,0.982455830900098,0.9791130083627461,0.9803356954954487,0.9662119087084025,0.9648798521256932,0.9580456718003186,0.9543367346938776,0.9673134522724313,0.947,0.9468,0.9368,0.9284,0.9498
"('0.1', '1000', 'None', 'ZandZZ', 'None')",13611.511869430542,11541.142052412033,14001.597580909729,11449.440729379654,11937.778870105743,0.9758283807241955,0.9840745474782924,0.9823086156428988,0.9699195522910108,0.9770698217570647,0.9673885350318471,0.9655899802241267,0.9610699152542372,0.9558654215172062,0.9676076492780018,0.9488,0.9478,0.9412,0.931,0.9502
"('0.1', '5000', 'None', 'ZandZZ', 'None')",14385.20468044281,11230.220148801804,13167.838830947876,11466.29989027977,11885.595116615295,0.9761647022328952,0.9850148494114642,0.9831806003307029,0.9712850788401681,0.9794390096677934,0.9675200611387085,0.9663721482262957,0.9625314444591553,0.9568004102038201,0.9681280083257447,0.949,0.949,0.9434,0.9326,0.951
"('0.3', '1000', 'None', 'ZandZZ', 'None')",13389.106622695923,11275.93752336502,12830.015020132065,11438.37601852417,11891.539224386215,0.9736933806291183,0.9831263928685132,0.9824420365365203,0.9668667701852383,0.9768364009152071,0.9671755725190839,0.9681848184818482,0.9637182203389829,0.9545454545454546,0.9702404158544508,0.9484,0.9518,0.9452,0.9292,0.9542
"('0.3', '5000', 'None', 'ZandZZ', 'None')",13434.997879266739,11104.431205511093,11331.65699005127,11519.93285036087,11565.824578523636,0.9718344482574629,0.9809538937945682,0.9817170409688076,0.9632630519960006,0.9758654957804866,0.9671002295332823,0.967673835598364,0.963051251489869,0.9533213644524238,0.9690828786697844,0.9484,0.951,0.9442,0.9272,0.9524
"('0.5', '1000', 'None', 'ZandZZ', 'None')",12918.589641571045,11312.053778409958,11210.832975625992,12948.745997428894,11229.826955795288,0.9676854138415546,0.9795626238619508,0.9790615129115242,0.9584143728293781,0.9734954109597027,0.9665132924335378,0.9671373894681272,0.9626687847498014,0.9527609730982108,0.9685059864653826,0.9476,0.9502,0.9436,0.9266,0.9516
"('0.5', '5000', 'None', 'ZandZZ', 'None')",13136.774025440216,11613.37152004242,11163.7484228611,12663.689939975739,10564.730956792831,0.9668120776077919,0.9792168817290426,0.9743372825917846,0.960736474574355,0.9681570023113372,0.9625367600051145,0.9677930306230201,0.9591511936339523,0.9509930358524632,0.9633015541334726,0.9414,0.9512,0.9384,0.924,0.9438
"('0.0001', '100', 'None', 'ZandZZ', 'None')",12871.812891244888,11232.773104429245,10721.724818468094,11132.97572851181,13770.81358718872,0.9408239098016872,0.9411760482594094,0.9357521862935585,0.9461173469568013,0.941830225689477,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('0.0001', '500', 'None', 'ZandZZ', 'None')",13849.806970834732,10524.950739145279,10571.038003206253,10960.245054483414,16705.672139644623,0.9407806095529514,0.9412247348543743,0.9357971875780173,0.9460647927332082,0.941830225689477,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('0.0001', '1000', 'None', 'ZandZZ', 'None')",13030.49795460701,10566.347700119019,12644.514933109283,10313.039311170578,14069.430324792862,0.9408497983101907,0.9412258566653182,0.9357646238344894,0.9460957069823808,0.941830225689477,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('0.001', '100', 'None', 'ZandZZ', 'None')",14909.622846364975,11348.681658744812,12444.044573545456,10475.492202043533,10251.46799492836,0.9548073700230773,0.9529039085912545,0.9493676754190774,0.9572683374493448,0.9540082461910472,0.9217728263502059,0.9211852944792819,0.9207053890738685,0.9178803084077837,0.9200049001592551,0.8708,0.8718,0.8714,0.8658,0.8694
"('0.001', '500', 'None', 'ZandZZ', 'None')",14423.517161130905,10221.680667638779,12825.946655988693,10538.843338489532,10601.91466498375,0.9750079670166656,0.9735887562235268,0.9731052876283101,0.9760460940287803,0.9747078091267773,0.9532208588957055,0.9520188778185631,0.9475758770201024,0.9484244372990354,0.9530825901512214,0.9268,0.9268,0.9202,0.9198,0.9274
"('0.001', '1000', 'None', 'ZandZZ', 'None')",12465.868766784668,10620.3579351902,12092.146359682083,10618.541504859924,11772.59382224083,0.9786493117436919,0.9775846468056769,0.9774950611655648,0.9792766330672942,0.9784494936494283,0.9576336863859468,0.9550218919994693,0.9514950166112957,0.954445165476963,0.9573385518590999,0.9344,0.9322,0.927,0.9298,0.9346
"('0.005', '100', 'None', 'ZandZZ', 'None')",12130.725012302399,10611.059743404388,12412.230145454407,10423.011605262756,11759.325401544571,0.9807932468107304,0.9799323727490583,0.9797636686313458,0.9808947731954027,0.9804094663474864,0.9605604566683964,0.954636158041772,0.9526217726909768,0.9583441812028117,0.959989539748954,0.9392,0.9318,0.9288,0.936,0.9388
"('0.005', '500', 'None', 'ZandZZ', 'None')",11962.661276102066,11310.267077445984,14705.513109207153,13292.441880226135,10436.015199899673,0.9818633815294885,0.9814178748009627,0.9807462343648803,0.9815673789309676,0.9814393433183338,0.9642165094948972,0.9578961349448798,0.955644090305445,0.9572627501613944,0.9613677890890107,0.9446,0.9366,0.9332,0.9338,0.9408
"('0.005', '1000', 'None', 'ZandZZ', 'None')",10409.951018571854,10721.422200202942,14471.534157037735,12942.050339698792,10271.607717990875,0.9820819446897742,0.9817651874691923,0.9809551850525181,0.9817279122105984,0.981610877366385,0.9638026536132938,0.9587478445417164,0.9560249767503654,0.9560185185185185,0.9613778705636743,0.9438,0.9378,0.9338,0.9316,0.9408
"('0.01', '100', 'None', 'ZandZZ', 'None')",11321.029064893723,10516.022979259491,12926.846881866455,12936.660830974579,11862.899564027786,0.9818388676320561,0.9813599893562578,0.9807514355183605,0.9815600920008056,0.9813985339108239,0.9639301874595992,0.9574807334573479,0.9553666312433581,0.9572074983839689,0.9612322151155201,0.9442,0.936,0.9328,0.9338,0.9406
"('0.01', '500', 'None', 'ZandZZ', 'None')",10463.296612977982,11199.148067474365,10479.108502864838,11909.454450130463,10837.383744239807,0.9824821856132745,0.9821248400578046,0.9813215271672077,0.9819588858151294,0.9818734477850357,0.9639917695473251,0.9591511936339523,0.9564061669324827,0.9549826856483263,0.9624020887728458,0.944,0.9384,0.9344,0.9298,0.9424
"('0.01', '1000', 'None', 'ZandZZ', 'None')",10974.78300023079,10349.188662290573,10390.54970240593,14342.259451627731,12197.99637746811,0.9827177023101027,0.9823671512216857,0.9815881428173426,0.9821412798852462,0.9819508062772941,0.9651894669235709,0.9594164456233422,0.9567761670434898,0.9534883720930233,0.9628082996215581,0.9458,0.9388,0.935,0.9272,0.943
"('0.05', '100', 'None', 'ZandZZ', 'None')",12106.008571386337,12974.541892766953,12726.394765138626,12314.527472496033,11214.248267173767,0.9835974533955298,0.9835277768242384,0.9827991070297886,0.9828063778745836,0.9826051021625397,0.9654818426793277,0.9607531158843808,0.9576529934952874,0.9573703133025167,0.9641506974318863,0.9462,0.9408,0.9362,0.9336,0.945
"('0.05', '500', 'None', 'ZandZZ', 'None')",12836.51604771614,12322.100216150284,11150.723306655884,11629.554657459259,11375.964608430862,0.9830450888468412,0.9840536817947361,0.9829879315148291,0.9828997830702971,0.9827974893693735,0.9659759529291378,0.961864406779661,0.957630495417718,0.9545861583727773,0.9648254299114122,0.9468,0.9424,0.9362,0.929,0.946
